RegionName,ParkName,ParkType,Year,TRV
Alaska Region,Glacier Bay NP & PRES,National Park,2004,353686
Alaska Region,Glacier Bay NP & PRES,National Park,2005,359829
Alaska Region,Glacier Bay NP & PRES,National Park,2006,413382
Alaska Region,Glacier Bay NP & PRES,National Park,2007,438211
Alaska Region,Glacier Bay NP & PRES,National Park,2008,418911
Alaska Region,Glacier Bay NP & PRES,National Park,2009,438361
Alaska Region,Glacier Bay NP & PRES,National Park,2010,444530
Alaska Region,Glacier Bay NP & PRES,National Park,2011,431986
Alaska Region,Glacier Bay NP & PRES,National Park,2012,454337
Alaska Region,Glacier Bay NP & PRES,National Park,2013,500590
Alaska Region,Glacier Bay NP & PRES,National Park,2014,500727
Alaska Region,Glacier Bay NP & PRES,National Park,2015,551353
Alaska Region,Glacier Bay NP & PRES,National Park,2016,520171
Alaska Region,Glacier Bay NP & PRES,National Park,2017,547057
Alaska Region,Glacier Bay NP & PRES,National Park,2018,597915
Alaska Region,Glacier Bay NP & PRES,National Park,2019,672087
Alaska Region,Glacier Bay NP & PRES,National Park,2020,5748
Alaska Region,Katmai NP & PRES,National Park,1904,
Alaska Region,Katmai NP & PRES,National Park,1905,
Alaska Region,Katmai NP & PRES,National Park,1906,
Alaska Region,Katmai NP & PRES,National Park,1907,
Alaska Region,Katmai NP & PRES,National Park,1908,
Alaska Region,Katmai NP & PRES,National Park,1909,
Alaska Region,Katmai NP & PRES,National Park,1910,
Alaska Region,Katmai NP & PRES,National Park,1911,
Alaska Region,Katmai NP & PRES,National Park,1912,
Alaska Region,Katmai NP & PRES,National Park,1913,
Alaska Region,Katmai NP & PRES,National Park,1914,
Alaska Region,Katmai NP & PRES,National Park,1915,
Alaska Region,Katmai NP & PRES,National Park,1916,
Alaska Region,Katmai NP & PRES,National Park,1917,
Alaska Region,Katmai NP & PRES,National Park,1918,
Alaska Region,Katmai NP & PRES,National Park,1919,
Alaska Region,Katmai NP & PRES,National Park,1920,
Alaska Region,Katmai NP & PRES,National Park,1921,
Alaska Region,Katmai NP & PRES,National Park,1922,
Alaska Region,Katmai NP & PRES,National Park,1923,15
Alaska Region,Katmai NP & PRES,National Park,1924,17
Alaska Region,Katmai NP & PRES,National Park,1925,
Alaska Region,Katmai NP & PRES,National Park,1926,
Alaska Region,Katmai NP & PRES,National Park,1927,
Alaska Region,Katmai NP & PRES,National Park,1928,
Alaska Region,Katmai NP & PRES,National Park,1929,
Alaska Region,Katmai NP & PRES,National Park,1930,
Alaska Region,Katmai NP & PRES,National Park,1931,
Alaska Region,Katmai NP & PRES,National Park,1932,
Alaska Region,Katmai NP & PRES,National Park,1933,
Alaska Region,Katmai NP & PRES,National Park,1934,
Alaska Region,Katmai NP & PRES,National Park,1935,
Alaska Region,Katmai NP & PRES,National Park,1936,
Alaska Region,Katmai NP & PRES,National Park,1937,
Alaska Region,Katmai NP & PRES,National Park,1938,
Alaska Region,Katmai NP & PRES,National Park,1939,
Alaska Region,Katmai NP & PRES,National Park,1940,
Alaska Region,Katmai NP & PRES,National Park,1941,
Alaska Region,Katmai NP & PRES,National Park,1942,
Alaska Region,Katmai NP & PRES,National Park,1943,
Alaska Region,Katmai NP & PRES,National Park,1944,
Alaska Region,Katmai NP & PRES,National Park,1945,
Alaska Region,Katmai NP & PRES,National Park,1946,
Alaska Region,Katmai NP & PRES,National Park,1947,
Alaska Region,Katmai NP & PRES,National Park,1948,
Alaska Region,Katmai NP & PRES,National Park,1949,
Alaska Region,Katmai NP & PRES,National Park,1950,
Alaska Region,Katmai NP & PRES,National Park,1951,
Alaska Region,Katmai NP & PRES,National Park,1952,
Alaska Region,Katmai NP & PRES,National Park,1953,
Alaska Region,Katmai NP & PRES,National Park,1954,
Alaska Region,Katmai NP & PRES,National Park,1955,
Alaska Region,Katmai NP & PRES,National Park,1956,500
Alaska Region,Katmai NP & PRES,National Park,1957,600
Alaska Region,Katmai NP & PRES,National Park,1958,700
Alaska Region,Katmai NP & PRES,National Park,1959,1100
Alaska Region,Katmai NP & PRES,National Park,1960,600
Alaska Region,Katmai NP & PRES,National Park,1961,600
Alaska Region,Katmai NP & PRES,National Park,1962,300
Alaska Region,Katmai NP & PRES,National Park,1963,700
Alaska Region,Katmai NP & PRES,National Park,1964,500
Alaska Region,Katmai NP & PRES,National Park,1965,800
Alaska Region,Katmai NP & PRES,National Park,1966,900
Alaska Region,Katmai NP & PRES,National Park,1967,1200
Alaska Region,Katmai NP & PRES,National Park,1968,1600
Alaska Region,Katmai NP & PRES,National Park,1969,7800
Alaska Region,Katmai NP & PRES,National Park,1970,11800
Alaska Region,Katmai NP & PRES,National Park,1971,9600
Alaska Region,Katmai NP & PRES,National Park,1972,11900
Alaska Region,Katmai NP & PRES,National Park,1973,8400
Alaska Region,Katmai NP & PRES,National Park,1974,11900
Alaska Region,Katmai NP & PRES,National Park,1975,9700
Alaska Region,Katmai NP & PRES,National Park,1976,10400
Alaska Region,Katmai NP & PRES,National Park,1977,10000
Alaska Region,Katmai NP & PRES,National Park,1978,11300
Alaska Region,Katmai NP & PRES,National Park,1979,10659
Alaska Region,Katmai NP & PRES,National Park,1980,11824
Alaska Region,Katmai NP & PRES,National Park,1981,13115
Alaska Region,Katmai NP & PRES,National Park,1982,14377
Alaska Region,Katmai NP & PRES,National Park,1983,11182
Alaska Region,Katmai NP & PRES,National Park,1984,20074
Alaska Region,Katmai NP & PRES,National Park,1985,25142
Alaska Region,Katmai NP & PRES,National Park,1986,41663
Alaska Region,Katmai NP & PRES,National Park,1987,38212
Alaska Region,Katmai NP & PRES,National Park,1988,45710
Alaska Region,Katmai NP & PRES,National Park,1989,40247
Alaska Region,Katmai NP & PRES,National Park,1990,40778
Alaska Region,Katmai NP & PRES,National Park,1991,41417
Alaska Region,Katmai NP & PRES,National Park,1992,46196
Alaska Region,Katmai NP & PRES,National Park,1993,53421
Alaska Region,Katmai NP & PRES,National Park,1994,55728
Alaska Region,Katmai NP & PRES,National Park,1995,0
Alaska Region,Katmai NP & PRES,National Park,1996,
Alaska Region,Katmai NP & PRES,National Park,1997,18802
Alaska Region,Katmai NP & PRES,National Park,1998,45470
Alaska Region,Katmai NP & PRES,National Park,1999,51399
Alaska Region,Katmai NP & PRES,National Park,2000,71389
Alaska Region,Katmai NP & PRES,National Park,2001,67038
Alaska Region,Katmai NP & PRES,National Park,2002,59025
Alaska Region,Katmai NP & PRES,National Park,2003,51589
Alaska Region,Katmai NP & PRES,National Park,2004,56787
Alaska Region,Katmai NP & PRES,National Park,2005,54274
Alaska Region,Katmai NP & PRES,National Park,2006,68630
Alaska Region,Katmai NP & PRES,National Park,2007,82634
Alaska Region,Katmai NP & PRES,National Park,2008,7970
Alaska Region,Katmai NP & PRES,National Park,2009,43035
Alaska Region,Katmai NP & PRES,National Park,2010,55172
Alaska Region,Katmai NP & PRES,National Park,2011,48939
Alaska Region,Katmai NP & PRES,National Park,2012,39818
Alaska Region,Katmai NP & PRES,National Park,2013,28966
Alaska Region,Katmai NP & PRES,National Park,2014,30896
Alaska Region,Katmai NP & PRES,National Park,2015,37818
Alaska Region,Katmai NP & PRES,National Park,2016,37818
Alaska Region,Katmai NP & PRES,National Park,2017,37818
Alaska Region,Katmai NP & PRES,National Park,2018,37818
Alaska Region,Katmai NP & PRES,National Park,2019,84167
Alaska Region,Katmai NP & PRES,National Park,2020,51511
Alaska Region,Kenai Fjords NP,National Park,1904,
Alaska Region,Kenai Fjords NP,National Park,1905,
Alaska Region,Kenai Fjords NP,National Park,1906,
Alaska Region,Kenai Fjords NP,National Park,1907,
Alaska Region,Kenai Fjords NP,National Park,1908,
Alaska Region,Kenai Fjords NP,National Park,1909,
Alaska Region,Kenai Fjords NP,National Park,1910,
Alaska Region,Kenai Fjords NP,National Park,1911,
Alaska Region,Kenai Fjords NP,National Park,1912,
Alaska Region,Kenai Fjords NP,National Park,1913,
Alaska Region,Kenai Fjords NP,National Park,1914,
Alaska Region,Kenai Fjords NP,National Park,1915,
Alaska Region,Kenai Fjords NP,National Park,1916,
Alaska Region,Kenai Fjords NP,National Park,1917,
Alaska Region,Kenai Fjords NP,National Park,1918,
